sourceId,club,country,publisher,publisherKind,title,published,url,urlComplete,document,note
N11,1. FC Nürnberg,,sgf1903.de (SpVgg Greuther Fürth),other-club,Tickets für das Frankenderby,18 Feb 2025,https://sgf1903.de/news/profis/tickets-fuer-das-frankenderby,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)","The opposing club's own site, which sells the away end."
N12,1. FC Nürnberg,,nordbayern.de,press,Ticketinfos zum Frankenderby,12 Mar 2025,https://nordbayern.de/sport/ticketinfos-zum-frankenderby-restkarten-zuschauerrekord-und-das-quasi-ausverkaufte-stadion-1.14611371,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)","The PDF breaks this URL across two lines ('restkar' / 'ten'); it is joined here as 'restkarten', which is the only reading that matches the title. No other change."
N13,1. FC Nürnberg,,nn.de,press,Frankenderby: Nur noch wenige Plätze frei,13 Sep 2023,https://nn.de/nuernberg/beim-frankenderby-sind-nur-noch-wenige-platze-im-max-morlock-stadion-frei-1.13596440,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
N14,1. FC Nürnberg,,fcn.de,club,"Derby am Sonntag, Rückrundenauftakt samstags",5 Nov 2025,https://fcn.de/news/artikel/derby-am-sonntag-rueckrundenauftakt-samstags/,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
N15,1. FC Nürnberg,,fcn.de,club,Ab sofort für Mitglieder erhältlich: Die Rückrunden-Dauerkarte,30 Oct 2025,https://fcn.de/news/artikel/ab-sofort-fuer-mitglieder-erhaeltlich-die-rueckrunden-dauerkarte/,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
N16,1. FC Nürnberg,,fcn.de,club,Schwarzmarkttickets,,https://fcn.de/tickets/heimspiele/schwarzmarkttickets/,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
I1,FC Internazionale Milano,,MilanPress (cross-check: Yahoo Sports),press,"Serie A 2026/27, le date del derby",5 Jun 2026,https://milanpress.it/serie-a-2026-27-derby-milano-andata-ritorno/;https://sports.yahoo.com/articles/serie-26-27-derby-dates-172000621.html,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)","Two URLs under one code, as the PDF lists them: the source and its cross-check. Supports the fixture table only."
I2,FC Internazionale Milano,,inter.it,club,Tickets for Inter vs. AC Milan: dates and phases of sale,28 Oct 2025,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",The 2025/26 home-derby sale announcement. Every derby phase date in this repo rests on it.
I3,FC Internazionale Milano,,inter.it,club,"FAQ (tickets, transfers, resale, profile)",,https://inter.it/en/faq,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
I4,FC Internazionale Milano,,inter.it,club,Tickets for Inter vs. Monza and Inter vs. Napoli,17 Aug 2026,https://inter.it/en/news/tickets-inter-monza-inter-napoli-serie-a-26-27,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
I5,FC Internazionale Milano,,inter.it,club,Siamo Noi card page (older cached version),,https://inter.it/en/tessera_siamo_noi,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)","The PDF read an older cached version of this page, not the live one."
I6,FC Internazionale Milano,,inter.it,club,Abbonamenti 2026/27,,https://inter.it/it/biglietti/abbonamenti,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
I7,FC Internazionale Milano,IT,Ministero dell'Interno,government,Dalla tessera del tifoso alla fidelity card,,https://interno.gov.it/it/notizie/dalla-tessera-tifoso-alla-fidelity-card,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
I8,FC Internazionale Milano,IT,Il Post,press,Come funziona l'ordine pubblico negli stadi,2022/2023,https://ilpost.it/2022/10/22/tessera-del-tifoso-ordine-stadi/,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
I9,FC Internazionale Milano,,SSC Napoli archive,other-club,Tessera del Tifoso FAQ (foreign fans),,https://archivio.sscnapoli.it/client/render.aspx?content=1&root;=3448,suspect,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)","Copied exactly as the PDF prints it. The '&root;=' looks like an HTML-entity artefact and the working URL is probably '&root=3448', but that is a guess and is not written in its place."
I10,FC Internazionale Milano,,inter.it,club,San Siro's new layout: entrances and accessibility,17 Aug 2026,https://inter.it/en/news/entrances-san-siro-how-to-arrive-26-27,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
I11,FC Internazionale Milano,,inter.it (cross-check: fcinter1908.it),club,Milan-Inter away sector tickets,Feb 2026,https://inter.it/it/notizie/biglietti-derby-settore-ospiti-inter-2026;https://fcinter1908.it,domain-only,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)","The first URL is complete. The PDF gives the cross-check only as the domain fcinter1908.it, with no article path, so that half cannot be followed to the article."
I12,FC Internazionale Milano,,goal.com,press,"Biglietti Inter-Milan settembre 2023 (prices, sold out)",,https://goal.com/it/liste/…/blt22d29cd26f924478,truncated-in-pdf,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)","THE PDF ITSELF TRUNCATES THIS URL with '…' in the middle, so it will not open as written. Only the start and the article id are known. Not reconstructed."
I13,FC Internazionale Milano,,Passione Inter,fan-site,Biglietti Inter-Milan 23 novembre 2025,11 Nov 2025,https://passioneinter.com/inter-news/biglietti-inter-milan-23-novembre-2025/,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)","A fan site, not the club."
I14,FC Internazionale Milano,,Calcio e Finanza,press,"Inter-Milan, nuovo record d'incasso",24 Nov 2025,https://calcioefinanza.it/2025/11/24/incasso-inter-milan-record-classifica-serie-a/,yes,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)",
I15,FC Internazionale Milano,,goal.com,press,Biglietti Inter-Milan 2024,,https://goal.com/it/liste/…/blt0d82bbc5e7a9c9e7,truncated-in-pdf,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)","THE PDF ITSELF TRUNCATES THIS URL with '…', so it will not open as written. Not reconstructed. The PDF also warns (I-25) that this source dates the 2024/25 sale opening after that match was played."
I16,FC Internazionale Milano,,Calciomercato,press,Biglietti Milan-Inter (contains viagogo affiliate link),29 Jan 2026,https://calciomercato.com/liste/…/blte955c1dd0c30d4ce,truncated-in-pdf,"Derby ticket rule set, compiled 23 Sep 2026 (PDF supplied by Alexandru)","THE PDF ITSELF TRUNCATES THIS URL with '…', so it will not open as written. Not reconstructed."
